[12] BJGHFGAJFEBHEFJDFFEE : [13] BJEFJDFFEEGHFGAJFEBH
[1646] HHDGEIHHDGEIII : [1577] HHHDGEIIHDGEII
[1646] HHDGEIHHDGEIII : [1647] HHHDGEIIHDGEII
[1647] HHHDGEIIHDGEII : [1576] HHDGEHHDGEIIII
[1647] HHHDGEIIHDGEII : [1577] HHHDGEIIHDGEII
[1647] HHHDGEIIHDGEII : [1646] HHDGEIHHDGEIII
[1648] DD : [1795] DD
[1672] JDIIFJDIIFJFJF : [1673] JJDIIFJFDIIFJF
[1673] JJDIIFJFDIIFJF : [1672] JDIIFJDIIFJFJF
[1683] HIAJ : [898] HIJA
[1687] BF : [884] FB
[1687] BF : [1368] FB
[1731] CJD : [836] CDJ
[1736] JDIIFJF : [1737] JDIFIJF
[1736] JDIIFJF : [1754] JDIIFJF
[1736] JDIIFJF : [1755] DJIIFJF
[1737] JDIFIJF : [1736] JDIIFJF
[1737] JDIFIJF : [1754] JDIIFJF
[1737] JDIFIJF : [1755] DJIIFJF
[1754] JDIIFJF : [1736] JDIIFJF
[1754] JDIIFJF : [1737] JDIFIJF
[1754] JDIIFJF : [1755] DJIIFJF
[1755] DJIIFJF : [1736] JDIIFJF
[1755] DJIIFJF : [1737] JDIFIJF
[1755] DJIIFJF : [1754] JDIIFJF
[1795] DD : [1648] DD
[1813] FBFAI : [561] IFABF
[1822] FFACHABIAGF : [1823] FFAGFACHABI
[1823] FFAGFACHABI : [1822] FFACHABIAGF
[1831] EG : [748] EG
[1841] HD : [163] HD
[1841] HD : [668] HD
[1841] HD : [1150] DH
[1847] ECHI : [1609] CHIE
[1850] JBBHDBBJGFBIF : [1851] BJGFBJBBHDBIF
[1851] BJGFBJBBHDBIF : [1850] JBBHDBBJGFBIF
[1858] CEIEGBDGGEADI : [1859] CGGEADIEIEGBD
[1859] CGGEADIEIEGBD : [1858] CEIEGBDGGEADI
[1874] DABAICAAAEJI : [1875] DABAEJIAICAA
[1875] DABAEJIAICAA : [1874] DABAICAAAEJI
[1878] HHHHHHHHHHHHHHH : [1879] HHHHHHHHHHHHHHH
[1879] HHHHHHHHHHHHHHH : [1878] HHHHHHHHHHHHHHH
[1888] FAJGFAJGADEIADEIC : [1889] FAJGADEICFAJGADEI
[1889] FAJGADEICFAJGADEI : [1888] FAJGFAJGADEIADEIC
[1906] GHEEAEGFGDBFGGHEAH : [1907] GHEFGDBFGGHEEAEGAH
[1907] GHEFGDBFGGHEEAEGAH : [1906] GHEEAEGFGDBFGGHEAH
[1910] DDDDDDD : [293] DDDDDDD
[1910] DDDDDDD : [1911] DDDDDDD
[1911] DDDDDDD : [293] DDDDDDD
[1911] DDDDDDD : [1910] DDDDDDD
[1942] CCCCC : [191] CCCCC
[1943] CCCC : [190] CCCC
[1962] BBBBBBBBBBBBBB : [1963] BBBBBBBBBBBBBB
[1963] BBBBBBBBBBBBBB : [1962] BBBBBBBBBBBBBB
[1966] HG : [152] GH
[1966] HG : [1967] GH
[1967] GH : [152] GH
[1967] GH : [1966] HG
